date,close,volume,open,high,low
7/24/14,602.77,"737,665",605.53,608.91,602.051
7/23/14,605.19,1105900,602.05,607.05,601.35
7/22/14,603.57,1879176,599.7,608.89,599.2576
7/21/14,598.44,2237320,601.35,604.16,594.45
7/18/14,605.11,4869149,603.01,606.7,590.92
7/17/14,580.82,2906223,588.97,589.5,576.85
7/16/14,590.62,1440365,596.89,597,590.25
7/15/14,593.06,1672965,595.15,595.2999,585.31
7/14/14,594.26,1951055,590.6,594.86,586.693
7/11/14,586.65,1511384,581,588.23,580.575
7/10/14,580.04,1434626,573,585.25,572.1001
7/9/14,583.36,1371057,578.95,584.1,577
7/8/14,578.4,2125090,586.365,587.97,574
7/7/14,590.76,1334876,593.51,595.645,587.94
7/3/14,593.08,898852,591.7,594.25,589
7/2/14,590.78,1195250,592.26,594.15,589.11
7/1/14,591.49,1643199,587.65,593.66,586.29
6/30/14,584.67,1478867,586.76,587.71,583.29
6/27/14,585.69,2015965,585.45,587.88,582.62
6/26/14,584.77,2001257,589.3,589.6,579.6
6/25/14,585.93,2110029,573.55,587.3,573.26
6/24/14,572.54,2843997,574.22,582.25,569.16
6/23/14,574.29,1722711,564.35,574.44,563.5
6/20/14,566.52,3156309,566.45,566.77,559.37
6/19/14,564.99,2627242,561.15,565,556.6679
6/18/14,560.66,2057643,552.8,561.4,551.58
6/17/14,550.615,1477494,552.36,553.74,547.47
6/16/14,552.3,1938486,557.25,557.99,550
6/13/14,560.35,1353287,560.08,560.65,553.72
6/12/14,559.5,1546085,567,567,557.15
6/11/14,567.5,1128417,565.92,568.97,563.68
6/10/14,568.3,1472116,568.78,572,566.13
6/9/14,570.73,1529355,566.75,572,565.22
6/6/14,566.03,1740248,568.16,568.7999,559.58
6/5/14,564.93,1792859,557.11,565,555.05
6/4/14,553.76,1729048,551.52,558.58,548.56
6/3/14,554.51,2026954,560.9,562.4,552.5275
6/2/14,564.34,1660355,569.75,570.41,556.7
5/30/14,571.65,1871693,571.64,572.58,565.79
5/29/14,570.56,1409408,573.39,573.48,568.4525
5/28/14,570.45,1580200,574.57,577.66,569.952
5/27/14,574.87,2185798,567.78,574.87,564.15
5/23/14,563.8,2672414,558.13,565,554.17
5/22/14,555.45,2146620,552.2,557.96,551
5/21/14,549.7,1562619,542.9,549.75,542.11
5/20/14,540.39,2424962,540,546.35,536.57
5/19/14,538.83,1976325,528.88,539.35,525.66
5/16/14,528.3,1907537,529.6,530.84,523.57
5/15/14,529.12,1829143,533.14,533.9999,525.31
5/14/14,534.41,1280903,541.82,541.82,533.11
5/13/14,541.54,2010474,539.58,543.99,537.9
5/12/14,538.43,1944902,531.84,538.75,527.51
5/9/14,526.62,2261215,518.65,527.35,514.28
5/8/14,520.17,2450440,515.72,527.35,514.46
5/7/14,518,3071981,523.25,524.43,511.09
5/6/14,522.57,1834320,533.41,534.548,522.2601
5/5/14,535.33,1228390,530.24,535.72,527.58
5/2/14,533.87,1779648,541.44,542.4,533.27
5/1/14,538.53,2003547,534.25,539.91,532.86
4/30/14,534.88,2036412,535.12,536.34,529.09
4/29/14,536.33,2531953,523.89,537.76,523
4/28/14,522.98,3750042,525.8,525.9,511
4/25/14,523.1,2369938,532.26,533.86,522.5
4/24/14,534.44,2065546,541.69,542.5,531
4/23/14,537.51,1954017,543.67,544.8,528.1277
4/22/14,545.5,2326897,536,547.995,536
4/21/14,539.37,2422418,544,544,534
4/17/14,543.34,5604179,556.32,557,539.4
4/16/14,563.9,4535718,557.7,564,553.1
4/15/14,548.7,3992074,551,552.89,530.64
4/14/14,545.2,2538776,543.66,553.02,540.52
4/11/14,537.76,3174702,537.94,547.59,533.4
4/10/14,546.69,3294330,568,568.21,545.5
4/9/14,567.04,3031068,565.84,567.8,555.38
4/8/14,557.51,3482243,545.05,559.88,544.7
4/7/14,540.63,3946815,544.79,549.85,530.53
4/4/14,545.25,5363131,578.55,579.7173,544.494
4/3/14,571.5,4012659,573.39,588.3,566.01
4/2/14,573.39,2085760,576.825,578.2899,567.7829
4/1/14,573.2839,2180443,565.8987,574.6023,564.752
3/31/14,562.989,1939988,571.0158,573.3395,562.1505
3/28/14,565.8381,2253524,565.2571,572.4251,564.6358
3/27/14,562.8729,3818631,571.2431,571.7937,556.7202
3/26/14,571.8089,2554077,586.9834,591.8126,571.5715
3/25/14,585.3215,2410125,588.999,590.9387,579.4012
3/24/14,584.9224,3036542,598.1875,598.5462,578.8708
3/21/14,597.6066,3207477,609.3613,611.0384,597.3086
3/20/14,604.7393,1684681,606.1486,611.0283,603.83
3/19/14,605.795,1610833,612.1346,612.2306,603.3501
3/18/14,611.8618,1817951,603.4815,611.9982,602.6682
3/17/14,602.1832,2160095,595.6921,604.6938,595.1163
3/14/14,592.4339,2293388,597.0762,601.5619,592.2975
3/13/14,600.6476,2339645,610.1898,611.4779,598.4755
